Date,Season #,Path order,Season Year,City,State,Latitude,Longitude,Venue Name,Concert Type,Repertoire,Assisting Artists,Institutional Affiliation and Notes
9/25/1852,1,1,1852-53,New York,NY,40.696464,-73.425169,Private Reception,Variety,,"Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
9/30/1852,1,2,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"Viotti, Violin Concerto No. 24 in B Minor; Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
10/6/1852,1,3,1852-53,Boston,MA,42.358562,-71.05833,Chickerings Pianoforte Warerooms,Private concert,"Artot, Souvenirs de Bellini, Op. 4","according to Schiller, given for forty invited guests",
10/8/1852,1,4,1852-53,Boston,MA,42.358562,-71.05833,Masonic Temple,Variety,,"Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
10/12/1852,1,5,1852-53,Boston,MA,42.358562,-71.05833,Masonic Temple,Variety,,"Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
10/15/1852,1,6,1852-53,Boston,MA,42.355552,-71.062792,Masonic Temple,Variety,"Viotti, Violin Concerto No. 24 in B Minor; De Beriot, Air Varie","Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
11/8/1852,1,7,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,,"Oscar Comettant, Mr. Feitlinger, Madame Oscar Comettant, Salvator Urso, ",Benefit concert for the gilrs of the Roman Catholic Orphan Asylum
11/9/1852,1,8,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Marietta Alboni, Signor Rovere, Signor Sangiovanni, Signor Arditi",
11/12/1852,1,9,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"De Beriot, Fifth Air Varie Op. 7; Artot, Fantasie and Variations on La Sonnambula","Marietta Alboni, Signor Rovere, Signor Sangiovanni, Signor Arditi",
11/23/1852,1,10,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"Artot, Fantasie and Variations on La Sonnambula","Alfred Toulmin, Harp; Mr. A. Sedgewick, Concertina; Mr. Barton, Bass concertina; Boscha's Grand Orchestra; Wallace's Brass Band; singers: Anna Bishop, Rosa Jacques, Augustus Braham, Mr. Guidi, Mr. Leach",From Brooklyn Daily Eagle:  St. Georges Concert. The Annual Concert in Aid of the Charitable Funds of the St. George's and British Protective Emigrant Society of New York... 
11/25/1852,1,11,1852-53,New York,NY,40.725573,-73.996654,Niblo's Saloon,Variety,"De Beriot, Sixth Air Varie Op. 12; Artot, Fantasie and Variations on La Sonnambula; Ernst, Carnival of Venice, Op. 18","Mrs. Georgiana Stuart, Mr. Robert Heller (Heeler?), with small orchestra conducted by Mr. Bristow","NY Times; 11/27;  in the midst of applause which rewarded the effort, little Paul Jullien stepped forward from the audience and crowned his juvenile sister in Art with a wreath of white roses. "
12/3/1852,1,12,1852-53,Philadelphia,PA,39.952584,-75.165222,,Variety,,"Mina Tourny, Louise Tourny, Giseppe Cortesi, Guisippe Fogoel",Philadelphia Musical Fund Society
12/11/1852,1,13,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,"Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Elise Siedenburg, soprano; Alfred Jaell, pianist; Carl Bergman, conductor",Germania Musical Society
12/10/1852,1,14,1852-53,Providence,RI,41.824286,-71.41254,Howard Hall,Traveling Troupe,"Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Elise Siedenburg, soprano; Alfred Jaell, pianist; Carl Bergman, conductor",Germania Musical Society
12/16/1852,1,15,1852-53,Providence,RI,41.824286,-71.41254,Howard Hall,Traveling Troupe,"Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Elise Siedenburg, soprano; Alfred Jaell, pianist; Carl Bergman, conductor",Germania Musical Society
12/23/1852,1,16,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,"Viotti, Violin Concerto no. 24; Leonard, Souvenir de Haydn","Elise Siedenburg, soprano; Alfred Jaell, pianist; Carl Bergman, conductor",Germania Musical Society
12/30/1852,1,17,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,,,
1/4/1853,1,18,1852-53,Worcester,MA,42.358562,-71.05833,Worchester City Hall,Variety,"Artot, Souvenir De Bellini; Ernst, Carnival of Venice",Alfred Jaell,Germania Musical Society
1/6/1853,1,19,1852-53,Portland,ME,43.659099,-70.256819,,Traveling Troupe,,,
1/7/1853,1,20,1852-53,Portland,ME,43.659099,-70.256819,,Traveling Troupe,,,
1/8/1853,1,21,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,"De Beriot, Le trémolo, Op.30; Artot, Souvenirs de Bellini, Op. 4; Urso, Old Folks at Home","Elise Siedenburg, soprano; Alfred Jaell, pianist; Carl Bergman, conductor",Germania Musical Society
1/11/1853,1,22,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,"De Beriot, Fifth Air Varie;  Beriot/Osborne, Fantasie Brilliante sur  Guillaume Tell ","Alfred Jaell, Otto Dressel, German Liederkranz, Carl Bergmann, August Kreissmann",Germania Musical Society
1/13/1853,1,23,1852-53,Providence,RI,41.824286,-71.41254,Howard Hall,Traveling Troupe,"H. Leonard, Souvenir de Haydn; Ernst, Carnival of Venice","Alfred Jaell,   ",Germania Musical Society
1/18/1853,1,24,1852-53,Worcester,MA,42.358562,-71.05833,Worchester City Hall,Variety,"De Beriot, Le tremolo, Op. 30; De Beriot, Fifth Air Varie","Caroline Bandt, Elise Hensler,",Germania Musical Society
1/19/1853,1,25,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,,Alfred Jaell,Germania Musical Society
1/22/1853,1,26,1852-53,Boston,MA,42.360083,-71.05888,Boston Music Hall,Traveling Troupe,"De Beriot, Le trémolo, Op.30; Beriot/Osborne, Fantasie Brilliante sur  Guillaume Tell ","Alfred Jaell, Elise Hensler",Germania Musical Society
1/26/1853,1,27,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,,Alfred Jaell,Germania Musical Society
1/27/1853,1,28,1852-53,Providence,RI,41.824286,-71.41254,Howard Hall,Traveling Troupe,"De Beriot, Fifth Air Varie;  Beriot/Osborne, Fantasie Brilliante sur  Guillaume Tell ","Elise Hensler, Caroline Bandt, Alfred Jaell",Germania Musical Society
1/28/1853,1,29,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,,"Elise Hensler, Caroline Lehmann, Sarah Humphrey, Alfred Jaell",Germania Musical Society
2/2/1853,1,30,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,,Alfred Jaell,Germania Musical Society
2/5/1853,1,31,1852-53,Boston,MA,42.360083,-71.05888,Boston Music Hall,Variety,Viotti concerto,"Anna Stone, Sarah Humphrey, Mr. Low, Mr. Hamilton, Handel and Haydn Society","Germania Musical Society, Handel and Haydn Society"
2/10/1853,1,32,1852-53,Providence,RI,41.824286,-71.41254,Howard Hall,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula; Ernst, Carnival of Venice, Op. 18","Alfred Jaell,",Germania Musical Society
2/12/1853,1,33,1852-53,Boston,MA,42.360083,-71.05888,Boston Music Hall,Traveling Troupe,,Alfred Jaell,"Germania Musical Society, public rehearsal for Urso's benefit"
2/15/1853,1,34,1852-53,Worcester,MA,42.262593,-71.802293,Worchester City Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28, De Beriot, Le trémolo, Op.30","Alfred Jaell, Carl Zerrahn","Germania Musical Society, Fifth Subcription Concert"
2/19/1853,1,35,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28","Caroline Lehmann, Alfred Jaell","Germania Musical Society, Seventh Subcription concert"
2/26/1853,1,36,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,,"Caroline Lehmann, Alfred Jaell, Otto Dresel, William Scharfenberg",Germania Musical Society
2/28/1853,1,37,1852-53,Newburyport,MA,42.812591,-70.877275,,Traveling Troupe,,,Germania Musical Society
3/1/1853,1,38,1852-53,Worcester,MA,42.262593,-71.802293,Worchester City Hall,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5, Last Rose of Summer (arr. Bergmann)","Anna Stone, soprano; Alfred Jaell",Germania Musical Society
3/2/1853,1,39,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,,Alfred Jaell,"Germania Musical Society, public rehearsal  "
3/3/1853,1,40,1852-53,Providence,RI,41.824286,-71.41254,Howard Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28, Last Rose of Summer (arr. Bergmann","Alfred Jaell, Anna Stone",Germania Musical Society
3/5/1853,1,41,1852-53,Boston,MA,42.360083,-71.05888,Boston Music Hall,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5",Alfred Jaell,Germania Musical Society
3/9/1853,1,42,1852-53,Boston,MA,42.358562,-71.05833,South Boston Lyceum Hall,Variety,,"Alfred Jaell, Frank Howard, Mendelssohn Quintette Club",Hosted by Mr. and Mrs. Garritt
3/12/1853,1,43,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,"H. Leonard, Souvenir de Gretry","Anna Stone, Sarah Humphries, Mr. Low, Mr. Ball, Alfred Jaell, Carl Bergmann",Germania Musical Society
3/19/1853,1,44,1852-53,Boston,MA,42.360083,-71.05888,Boston Music Hall,Traveling Troupe,"H. Leonard, Souvenir de Gretry; Ernst, Carnival of Venice, Op. 18","Anna Stone, soprano; Alfred Jaell",Germania Musical Society
3/23/1853,1,45,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,,Alfred Jaell,"Germania Musical Society, public rehearsal  "
3/25/1853,1,46,1852-53,Boston,MA,42.358562,-71.05833,Boston City Hall,Variety,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28, Last Rose of Summer (arr. Bishop)","Alfred Jaell, william Meyer, H. Ahner, ",Germania Musical Society
3/26/1853,1,47,1852-53,Boston,MA,42.360083,-71.05888,Boston Music Hall,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5",Alfred Jaell,Germania Musical Society
3/27/1853,1,48,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28, De Beriot, Le trémolo, Op.30","Alfred Jaell, Quartet from German Liederkranz",Germania Musical Society
4/2/1853,1,49,1852-53,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,,"Handel and Haydn Society, Anna Stone, Sarah Humphries, Mr. Low, Mr. Ball, Alfred Jaell",Farewell concert of the Germania Musical Society
4/5/1853,1,50,1852-53,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
4/7/1853,1,51,1852-53,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28, De Beriot, Le trémolo, Op.30",Alfred Jaell,Germania Musical Society
4/9/1853,1,52,1852-53,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5; Urso, Old Folks at Home",Alfred Jaell,Germania Musical Society
4/11/1853,1,53,1852-53,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; H. Leonard, Souvenir de Haydn",Alfred Jaell,Germania Musical Society
4/12/1853,1,54,1852-53,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
4/13/1853,1,55,1852-53,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,"Artot, Souvenirs de Bellini, Op. 4; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
4/14/1853,1,56,1852-53,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Urso, Old Folks at Home","Alfred Jaell, Carl Zerrahn, A. Kustenmacher",Germania Musical Society
4/15/1853,1,57,1852-53,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; De Beriot, Le trémolo, Op.30",Alfred Jaell,Germania Musical Society
4/16/1853,1,58,1852-53,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5; Urso, Old Folks at Home",Alfred Jaell,Germania Musical Society
4/18/1853,1,59,1852-53,Lancaster,PA,40.055226,-76.310805,Fulton Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Ernst, Carnival of Venice, Op. 18; Urso, Last Rose of Summer",Alfred Jaell,Germania Musical Society
4/20/1853,1,60,1852-53,Pittsburg,PA,40.440625,-79.995886,Masonic Hall,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula",Alfred Jaell,Germania Musical Society
4/23/1853,1,61,1852-53,Pittsburg,PA,40.440625,-79.995886,Masonic Hall,Traveling Troupe,"Alard, Fantasie on Themes from Lucia di Lamermoor; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
4/28/1853,1,62,1852-53,Cincinnati,OH,39.103118,-84.51202,Smith & Nixon's Hall,Traveling Troupe,"Artot, Souvenirs de Bellini, Op. 4; Ernst, Carnival of Venice, Op. 18",Carl Zerrahn,Germania Musical Society
5/9/1853,1,63,1852-53,Louisville,KY,38.252665,-85.758456,Mozart Hall,Traveling Troupe,"Alard, Souvenirs de Mozart, Op. 21; Simon, Un Reve; Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28","Alfred Jaell, Carl Zerrahn, Schultze",Germania Musical Society
5/11/1853,1,64,1852-53,Louisville,KY,38.252665,-85.758456,Mozart Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Urso, Old Folks at Home",Alfred Jaell,Germania Musical Society
5/21/1853,1,65,1852-53,St. Louis,MO,38.627003,-90.199404,Wyman Hall,Traveling Troupe,,Alfred Jaell,Germania Musical Society
5/24/1853,1,66,1852-53,St. Louis,MO,38.627003,-90.199404,Wyman Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
6/18/1853,1,67,1852-53,Cleveland,OH,41.499495,-81.695409,"National Hall, Bank Street",Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Urso, Old Folks at Home",Alflred Jaell,Germania Musical Society
6/23/1853,1,68,1852-53,Buffalo,NY,42.886447,-78.878369,American Hall,Traveling Troupe,"Ernst, Carnival of Venice, Op. 18; Urso, Old Folks at Home",Alfred Jaell,Germania Musical Society
6/24/1853,1,69,1852-53,Buffalo,NY,42.886447,-78.878369,American Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
8/14/1853,1,70,1852-53,Newport,RI,41.501697,-71.239904,,Traveling Troupe,,,
9/16/1853,2,1,1853-54,Hartford,CT,41.763711,-72.685093,American Hall,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
9/17/1853,2,2,1853-54,Hartford,CT,41.763711,-72.685093,American Hall,Traveling Troupe,,Alfred Jaell,Germania Musical Society
9/24/1853,2,3,1853-54,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Alard, Fantaisies Faciles, Op. 39, No. 5  Norma ; Vieuxtemps, Souvenir d'Amerique, Op. 17",Alfred Jaell,Germania Musical Society
9/26/1853,2,4,1853-54,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Artot, Pirate Fantasie and Variations; Ernst, Carnival of Venice, Op. 18",Alfred Jaell,Germania Musical Society
9/28/1853,2,5,1853-54,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Urso, Old Folks at Home",Alfred Jaell,Germania Musical Society
9/30/1853,2,6,1853-54,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5",Alfred Jaell,Germania Musical Society
10/3/1853,2,7,1853-54,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Alard, Fantaisies Faciles, Op. 39, No. 5  Norma ; Alard, Souvenir des Pyrenees, Op. 13",Alfred Jaell,Germania Musical Society
10/5/1853,2,8,1853-54,Philadelphia,PA,39.946871,-75.155068,Musical Fund Hall,Traveling Troupe,"Osborne/De Beriot, Fantasie Brilliante sur  Guillaume Tell ; Vieuxtemps, Souvenir d'Amerique, Op. 17","Alfred Jaell, J.F. Rudolph",Germania Musical Society (Carl Zerrahn conductor)
10/6/1853,2,9,1853-54,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,"Alard, Fantaisies Faciles, Op. 39, No. 5  Norma ; Vieuxtemps, Souvenir d'Amerique, Op. 17",Alfred Jaell,Germania Musical Society
10/8/1853,2,10,1853-54,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula; Vieuxtemps, Souvenir d'Amerique, Op. 17",Alfred Jaell,Germania Musical Society
10/11/1853,2,11,1853-54,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,"Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5; Alard, Souvenir des Pyrenees, Op. 13","Alfred Jaell, Carl Bergmann",Germania Musical Society
10/12/1853,2,12,1853-54,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Vieuxtemps, Souvenir d'Amerique, Op. 17","Alfred Jaell, Carl Bergmann","Germania Musical Society, review mentions President attended"
10/13/1853,2,13,1853-54,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,"Alard, Fantaisies Faciles, Op. 39, No. 5  Norma; Old Folks at Home (arr. Urso)",Alfred Jaell,Germania Musical Society
11/18/1853,2,14,1853-54,Boston,MA,42.358562,-71.05833,Boston Music Hall,Variety,"Alard, Fantaisie sur La Favorita de Donizetti, Op. 20; Sainton, Fantaisie on Themes from Lucrezia Borgia","Signora C. Vietti Vertiprach, F. Rodolfo, August Gockel",
11/22/1853,2,15,1853-54,Boston,MA,42.358562,-71.05833,Boston Music Hall,Orchestral,"Beethoven, Violin Concerto in D major, Op.61, 1st mvt",August Fries,
11/23/1853,2,16,1853-54,Worcester,MA,42.358562,-71.05833,,Variety,,,
11/24/1853,2,17,1853-54,Providence,RI,41.824286,-71.41254,Westminster Hall,Traveling Troupe,,"Caroline Vietti Vertiproch, F. Rodolfo, August Gockel",
11/26/1853,2,18,1853-54,Boston,MA,42.358562,-71.05833,Boston Music Hall,Traveling Troupe,,"Caroline Vietti Vertiproch, F. Rodolfo, August Gockel",Public rehearsal
12/10/1853,2,19,1853-54,Boston,MA,42.360083,-71.05888,Boston Music Hall,Orchestral,,Otto Dresel,"Germania Society, public rehearsal in benefit of Urso"
12/15/1853,2,20,1853-54,Boston,MA,42.358562,-71.05833,"Lyceum Hall, South Boston",Variety,,"Alfred Jaell, Mr. S.B. Ball, Mr. Sharland, Union Musical Institute Society",Hosted by Mr. and Mrs. WM. Garrett
12/28/1853,2,21,1853-54,Cambridge,MA,42.373616,-71.109734,Lyceum Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Alard, Souvenir des Pyrenees, Op. 13","August Fries, Francis Riha, Gustav Krebs, Thomas Ryan, Wulf Fries, ",Mendelssohn Quintette club
12/30/1853,2,22,1853-54,Lowell,MA,42.633425,-71.316172,Merrimack Hall,Traveling Troupe,,,Mendelssohn Quintette club
1/2/1854,2,23,1853-54,Salem,MA,42.5218376,-70.895749,Lyceum Hall,Traveling Troupe,,,Mendelssohn Quintette club. *summoned after this concert to replace Paul Jullien in Sontag's concert troupe
1/16/1854,2,24,1853-54,Louisville,KY,38.252665,-85.758456,Mozart Hall,Traveling Troupe,"Artot, Fantasie and Variations on La Sonnambula; Ernst, Carnival of Venice, Op. 18; Artot, Fantasie on Themes from Lucia di Lamermoor, Op. 5","Henrietta Sontag, Signor Rocco, Alfred Jaell",
1/17/1854,2,25,1853-54,New Albany,KY,38.279213,-85.822845,,Traveling Troupe,,"Henrietta Sontag, Signor Rocco, Alfred Jaell",
1/18/1854,2,26,1853-54,Louisville,KY,38.252665,-85.758456,Mozart Hall,Traveling Troupe,"Urso, Old Folks at Home","Henrietta Sontag, Signor Rocco, Alfred Jaell",
1/23/1854,2,27,1853-54,Louisville,KY,38.252665,-85.758456,Mozart Hall,Traveling Troupe,,"Henrietta Sontag, Signor Rocco, Alfred Jaell",
2/2/1854,2,28,1853-54,Louisville,KY,38.252665,-85.758456,,Traveling Troupe,,,
2/16/1854,2,29,1853-54,New Orleans,LA,29.949979,-90.068982,Odd Fellows Hall,Traveling Troupe,,"Henrietta Sontag, Rocco, Pozzollui, Alfred Jael",
2/26/1854,2,30,1853-54,Mobile,AL,30.694357,-88.043054,,Traveling Troupe,,"Henrietta Sontag, Rocco, Pozzollui, Alfred Jael",
3/7/1853,2,31,1853-54,New Orleans,LA,29.949979,-90.068982,Hotel d'Orleans,Traveling Troupe,,Alfred Jaell,Hosted by Mons. Dutour
3/9/1854,2,32,1853-54,New Orleans,LA,29.949979,-90.068982,Armory Hall,Traveling Troupe,"Artot, Fantasy","Henrietta Sontag, Rose Devries, Alfred Jaell",
3/13/1854,2,33,1853-54,New Orleans,LA,29.951715,-90.074794,Odd Fellows Hall,Traveling Troupe,"Alard, Fantasia and Variations from The Daughter of the Regiment, Op. 28; Alard, Fantaisie sur La Favorita de Donizetti, Op. 20","Henrietta Sontag, Rose Devries, Alfred Jaell, Pozzolini, Taffanelli, Rocco",
3/18/1853,2,34,1853-54,New Orleans,LA,29.949979,-90.068982,Armory Hall,Traveling Troupe,"Alard, Fantaisie sur La Favorita de Donizetti, Op. 20; Violin Solo","Henrietta Sontag, Rose Devries, Alfred Jaell, Pozzolini, Taffanelli, Rocco",
3/28/1853,2,35,1853-54,New Orleans,LA,29.951715,-90.074794,Odd Fellows Hall,Traveling Troupe,"Urso, Last Rose of Summer; Rode, variations","Rose Devries, Henrietta Sontag, Mlle Siedenburg",
3/30/1854,2,36,1853-54,New Orleans,LA,29.951715,-90.074794,Odd Fellows Hall,Benefit,"Sainton, Fantaisie on Themes from Lucrezia Borgia; Sivori, Pirata Fantasy; Eckert, Grand Duo for Voice and Violin","Henrietta Sontag, Mme. Bertini, Pozzolini, Rocco, Carl Bueller","Benefit concert for Urso put on by Sontag. Review mentions, Sontag did not appear and many audience members requested refunds"
4/18/1854,2,37,1853-54,New Orleans,LA,29.959022,-90.064767,Theatre d'Orleans,Variety,"Alard, Fantaisies Faciles, Op. 39, No. 5  Norma ; Artot, Souvenirs de Bellini, Op. 4",,"not performing with Sontag, Sontag travels on to Mexico, Urso breaks with her to go north"
5/3/1854,2,38,1853-54,New Orleans,LA,29.957795,-90.068416,Mme. Deron's St. Louis Institute,Benefit,,,Benefit concert
5/25/1854,2,39,1853-54,Savannah,GA,32.080909,-81.091201,,Traveling Troupe,,,Exact concert date unclear
6/6/1854,2,40,1853-54,Charleston,SC,32.777222,-79.931667,Hiberian Hall,Traveling Troupe,"Ernst, Carnival of Venice, Op. 18","Mr. Wagenere, Mr. Duffield, Mr. Greatorex",
6/7/1854,2,41,1853-54,Charleston,SC,32.777222,-79.931667,Hiberian Hall,Traveling Troupe,,"Mr. Wagenere, Mr. Duffield, Mr. Greatorex",
6/12/1854,2,42,1853-54,Charleston,SC,32.777222,-79.931667,Hiberian Hall,Traveling Troupe,Last Rose of Summer; Old Folks at Home (arr. Urso),"Mr. Duffield, Mr. Wagenere",
6/22/1854,2,43,1853-54,Charleston,SC,32.777222,-79.931667,Hiberian Hall,Traveling Troupe,,Salvator Urso,Notices in papers that the Ursos ran into financial trouble and Salvator Urso was almost imprisioned due to outstanding debt
9/7/1854,3,1,1854-55,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski",
9/8/1854,3,2,1854-55,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
9/11/1854,3,3,1854-55,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
9/14/1854,3,4,1854-55,Washington,DC,38.895611,-77.029067,Carusi's Saloon,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
9/20/1854,3,5,1854-55,Richmond,VA,37.534548,-77.430352,Odd Fellows Hall,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
9/26/1854,3,6,1854-55,Richmond,VA,37.536541,-77.432109,Metropolitan Hall,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
9/28/1854,3,7,1854-55,Richmond,VA,37.536541,-77.432109,Metropolitan Hall,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
10/25/1854,3,8,1854-55,Richmond,VA,37.536541,-77.432109,Metropolitan Hall,Traveling Troupe,,"Valery Gomez, Carlo Felice, Sigismund Wolowski, Francis Duval (manager)",
11/14/1854,3,9,1854-55,Baltimore,MD,39.290927,-76.609744,Holiday St. Theatre,Traveling Troupe,"Vieuxtemps, Souvenir d'Amerique; Fantasie Brilliante",,
11/15/1854,3,10,1854-55,Baltimore,MD,39.290927,-76.609744,Holiday St. Theatre,Traveling Troupe,"Sainton, Fantaisie on Themes from Lucrezia Borgia; Ernst, Carnival of Venice, Op. 18",,
11/21/1854,3,11,1854-55,Baltimore,MD,39.290927,-76.609744,Baltimore Assembly Rooms,Traveling Troupe,,"Signor S. Strini, Mr. Robert Heller, Mr. Demar",
